text,lang,folder,filename
"Colli Euganei Fior d'Arancio","it","Italy","Colli Euganei Fior d'Arancio.mp3"
"Barolo","it","Italy","Barolo.mp3"
"Barbaresco","it","Italy","Barbaresco.mp3"
"Barolo DOCG","it","Italy","Barolo DOCG.mp3"
"Asti Spumante / Moscato d'Asti","it","Italy","Asti Spumante / Moscato d'Asti.mp3"
"Dolcetto d'Alba","it","Italy","Dolcetto d'Alba.mp3"
"Barbera d'Asti Superiore","it","Italy","Barbera d'Asti Superiore.mp3"
"Gavi / Cortese di Gavi","it","Italy","Gavi / Cortese di Gavi.mp3"
"Chianti","it","Italy","Chianti.mp3"
"Chianti Classico","it","Italy","Chianti Classico.mp3"
"Brunello di Montalcino","it","Italy","Brunello di Montalcino.mp3"
"Vino Nobile di Montepulciano","it","Italy","Vino Nobile di Montepulciano.mp3"
"Morellino di Scansano","it","Italy","Morellino di Scansano.mp3"
"Vernaccia di San Gimignano","it","Italy","Vernaccia di San Gimignano.mp3"
"Vin Santo del Chianti Classico","it","Italy","Vin Santo del Chianti Classico.mp3"
"Bolgheri","it","Italy","Bolgheri.mp3"
"Toscana IGT","it","Italy","Toscana IGT.mp3"
"Franciacorta","it","Italy","Franciacorta.mp3"
"Oltrepò Pavese Metodo Classico","it","Italy","Oltrepò Pavese Metodo Classico.mp3"
"Valtellina Superiore","it","Italy","Valtellina Superiore.mp3"
"Sforzato di Valtellina","it","Italy","Sforzato di Valtellina.mp3"
"Trentino","it","Italy","Trentino.mp3"
"Alto Adige / Südtirol","it","Italy","Alto Adige / Südtirol.mp3"
"Teroldego Rotaliano","it","Italy","Teroldego Rotaliano.mp3"
"Trento","it","Italy","Trento.mp3"
"Collio Goriziano / Collio","it","Italy","Collio Goriziano / Collio.mp3"
"Colli Orientali del Friuli Picolit","it","Italy","Colli Orientali del Friuli Picolit.mp3"
"Ramandolo","it","Italy","Ramandolo.mp3"
"Friuli Grave","it","Italy","Friuli Grave.mp3"
"Lambrusco di Sorbara","it","Italy","Lambrusco di Sorbara.mp3"
"Pignoletto","it","Italy","Pignoletto.mp3"
"Romagna Sangiovese Superiore","it","Italy","Romagna Sangiovese Superiore.mp3"
"Verdicchio dei Castelli di Jesi","it","Italy","Verdicchio dei Castelli di Jesi.mp3"
"Conero","it","Italy","Conero.mp3"
"Offida","it","Italy","Offida.mp3"
"Torgiano Rosso Riserva","it","Italy","Torgiano Rosso Riserva.mp3"
"Sagrantino di Montefalco","it","Italy","Sagrantino di Montefalco.mp3"
"Est! Est!! Est!!! di Montefiascone","it","Italy","Est! Est!! Est!!! di Montefiascone.mp3"
"Frascati Superiore","it","Italy","Frascati Superiore.mp3"
"Cesanese del Piglio","it","Italy","Cesanese del Piglio.mp3"
"Montepulciano d'Abruzzo","it","Italy","Montepulciano d'Abruzzo.mp3"
"Montepulciano d'Abruzzo Colline Teramane","it","Italy","Montepulciano d'Abruzzo Colline Teramane.mp3"
"Trebbiano d'Abruzzo","it","Italy","Trebbiano d'Abruzzo.mp3"
"Taurasi","it","Italy","Taurasi.mp3"
"Greco di Tufo","it","Italy","Greco di Tufo.mp3"
"Fiano di Avellino","it","Italy","Fiano di Avellino.mp3"
"Primitive di Manduria","it","Italy","Primitive di Manduria.mp3"
"Primitivo di Manduria Dolce Naturale","it","Italy","Primitivo di Manduria Dolce Naturale.mp3"
"Nero di Troia / Castel del Monte Nero di Troia Riserva","it","Italy","Nero di Troia / Castel del Monte Nero di Troia Riserva.mp3"
"Aglianico del Vulture","it","Italy","Aglianico del Vulture.mp3"
"Aglianico del Vulture Superiore","it","Italy","Aglianico del Vulture Superiore.mp3"
"Cirò","it","Italy","Cirò.mp3"
"Greco di Bianco","it","Italy","Greco di Bianco.mp3"
"Etna","it","Italy","Etna.mp3"
"Cerasuolo di Vittoria","it","Italy","Cerasuolo di Vittoria.mp3"
"Marsala","it","Italy","Marsala.mp3"
"Passito di Pantelleria","it","Italy","Passito di Pantelleria.mp3"
"Cannonau di Sardegna","it","Italy","Cannonau di Sardegna.mp3"
"Vermentino di Gallura","it","Italy","Vermentino di Gallura.mp3"
"Carignano del Sulcis","it","Italy","Carignano del Sulcis.mp3"
"Cinque Terre","it","Italy","Cinque Terre.mp3"
"Rossese di Dolceacqua","it","Italy","Rossese di Dolceacqua.mp3"
"Biferno","it","Italy","Biferno.mp3"
"Tintilia del Molise","it","Italy","Tintilia del Molise.mp3"
"Vino de Rioja","es","Spain","Vino de Rioja.mp3"
"Priorato","es","Spain","Priorato.mp3"
"Ribera del Duero","es","Spain","Ribera del Duero.mp3"
"Rías Baixas","es","Spain","Rías Baixas.mp3"
"Penedés","es","Spain","Penedés.mp3"
"Cava","es","Spain","Cava.mp3"
"Jerez-Xeres-Sherry","es","Spain","Jerez-Xeres-Sherry.mp3"
"Manzanilla Sanlúcar de Barrameda","es","Spain","Manzanilla Sanlúcar de Barrameda.mp3"
"Rueda","es","Spain","Rueda.mp3"
"Toro","es","Spain","Toro.mp3"
"Bierzo","es","Spain","Bierzo.mp3"
"Jumilla","es","Spain","Jumilla.mp3"
"Vino Navarra","es","Spain","Vino Navarra.mp3"
"Somontano","es","Spain","Somontano.mp3"
"Valdepeñas","es","Spain","Valdepeñas.mp3"
"La Mancha","es","Spain","La Mancha.mp3"
"Ribeiro","es","Spain","Ribeiro.mp3"
"Ribeira Sacra","es","Spain","Ribeira Sacra.mp3"
"Valdeorras","es","Spain","Valdeorras.mp3"
"Monterrei","es","Spain","Monterrei.mp3"
"Montilla-Moriles","es","Spain","Montilla-Moriles.mp3"
"Condado de Huelva","es","Spain","Condado de Huelva.mp3"
"Binissalem","es","Spain","Binissalem.mp3"
"Alella","es","Spain","Alella.mp3"
"Montsant","es","Spain","Montsant.mp3"
"Terra Alta","es","Spain","Terra Alta.mp3"
"Cigales","es","Spain","Cigales.mp3"
"Arlanza","es","Spain","Arlanza.mp3"
"Arribes","es","Spain","Arribes.mp3"
"Empordá","es","Spain","Empordá.mp3"
"Bizkaiko Txakolina-Chacolí de Bizkaia","es","Spain","Bizkaiko Txakolina-Chacolí de Bizkaia.mp3"
"Getariako Txakolina-Chacolí de Getaria","es","Spain","Getariako Txakolina-Chacolí de Getaria.mp3"
"Arabako Txakolina-Chacolí de Álava","es","Spain","Arabako Txakolina-Chacolí de Álava.mp3"
"Yecla","es","Spain","Yecla.mp3"
"Bullas","es","Spain","Bullas.mp3"
"Vinos de Madrid","es","Spain","Vinos de Madrid.mp3"
"Ribera del Guadiana","es","Spain","Ribera del Guadiana.mp3"
"Tacoronte-Acentejo","es","Spain","Tacoronte-Acentejo.mp3"
"Lanzarote","es","Spain","Lanzarote.mp3"
"Abona","es","Spain","Abona.mp3"
"Conca de Barberá","es","Spain","Conca de Barberá.mp3"
"Utiel-Requena","es","Spain","Utiel-Requena.mp3"
"Alicante","es","Spain","Alicante.mp3"
"Valencia","es","Spain","Valencia.mp3"
"Almansa","es","Spain","Almansa.mp3"
"Manchuela","es","Spain","Manchuela.mp3"
"Méntrida","es","Spain","Méntrida.mp3"
