text,lang,folder,filename
"Mclaren Vale","en","Australia","Mclaren Vale.mp3"
"Langhorne Creek","en","Australia","Langhorne Creek.mp3"
"Coonawarra","en","Australia","Coonawarra.mp3"
"Wrattonbully","en","Australia","Wrattonbully.mp3"
"Kangaroo Island","en","Australia","Kangaroo Island.mp3"
"Riverland","en","Australia","Riverland.mp3"
"Yarra Valley","en","Australia","Yarra Valley.mp3"
"Mornington Peninsula","en","Australia","Mornington Peninsula.mp3"
"Geelong","en","Australia","Geelong.mp3"
"Macedon Ranges","en","Australia","Macedon Ranges.mp3"
"Sunbury","en","Australia","Sunbury.mp3"
"Heathcote","en","Australia","Heathcote.mp3"
"Bendigo","en","Australia","Bendigo.mp3"
"Grampians","en","Australia","Grampians.mp3"
"Rutherglen","en","Australia","Rutherglen.mp3"
"King Valley","en","Australia","King Valley.mp3"
"Alpine Valleys","en","Australia","Alpine Valleys.mp3"
"Beechworth","en","Australia","Beechworth.mp3"
"Hunter Valley","en","Australia","Hunter Valley.mp3"
"Orange","en","Australia","Orange.mp3"
"Mudgee","en","Australia","Mudgee.mp3"
"Canberra District","en","Australia","Canberra District.mp3"
"Riverina","en","Australia","Riverina.mp3"
"Margaret River","en","Australia","Margaret River.mp3"
"Great Southern","en","Australia","Great Southern.mp3"
"Albany","en","Australia","Albany.mp3"
"Frankland River","en","Australia","Frankland River.mp3"
"Mount Barker","en","Australia","Mount Barker.mp3"
"Porongurup","en","Australia","Porongurup.mp3"
"Denmark","en","Australia","Denmark.mp3"
"Tasmania","en","Australia","Tasmania.mp3"
"Granite Belt","en","Australia","Granite Belt.mp3"
"Wairarapa","en","NewZealand","Wairarapa.mp3"
