text,lang,filename
"Château Clerc Milon","fr","Château Clerc Milon.mp3"
"Château Croizet-Bages","fr","Château Croizet-Bages.mp3"
"Château d'Armailhac","fr","Château d'Armailhac.mp3"
"Château Duhart-Milon","fr","Château Duhart-Milon.mp3"
"Château Grand-Puy Ducasse","fr","Château Grand-Puy Ducasse.mp3"
"Château Haut-Bages-Libéral","fr","Château Haut-Bages-Libéral.mp3"
"Château Lynch-Moussas","fr","Château Lynch-Moussas.mp3"
"Château Pédesclaux","fr","Château Pédesclaux.mp3"
"Château Haut-Brion","fr","Château Haut-Brion.mp3"
"Château Pape Clément","fr","Château Pape Clément.mp3"
"Château La Mission Haut-Brion","fr","Château La Mission Haut-Brion.mp3"
"Château Smith Haut Lafitte","fr","Château Smith Haut Lafitte.mp3"
"Château Carbonnieux","fr","Château Carbonnieux.mp3"
"Château Malartic-Lagravière","fr","Château Malartic-Lagravière.mp3"
"Château Latour-Martillac","fr","Château Latour-Martillac.mp3"
"Château Olivier","fr","Château Olivier.mp3"
"Château Bouscaut","fr","Château Bouscaut.mp3"
"Château Pétrus","fr","Château Pétrus.mp3"
"Château Lafleur","fr","Château Lafleur.mp3"
"Château Le Pin","fr","Château Le Pin.mp3"
"Château Trotanoy","fr","Château Trotanoy.mp3"
"Château La Conseillante","fr","Château La Conseillante.mp3"
"Château L'Évangile","fr","Château L'Évangile.mp3"
"Château Clinet","fr","Château Clinet.mp3"
"Château Gazin","fr","Château Gazin.mp3"
"Château Nénin","fr","Château Nénin.mp3"
"Château d'Yquem","fr","Château d'Yquem.mp3"
"Château Suduiraut","fr","Château Suduiraut.mp3"
"Château Guiraud","fr","Château Guiraud.mp3"
"Château Rieussec","fr","Château Rieussec.mp3"
"Château Coutet","fr","Château Coutet.mp3"
"Château Climens","fr","Château Climens.mp3"
"Château La Tour Blanche","fr","Château La Tour Blanche.mp3"
"Château Filhot","fr","Château Filhot.mp3"
"Château Doisy-Daëne","fr","Château Doisy-Daëne.mp3"
"Château Doisy-Védrines","fr","Château Doisy-Védrines.mp3"
"Château de Myrat","fr","Château de Myrat.mp3"
"Château Cheval Blanc","fr","Château Cheval Blanc.mp3"
"Château Ausone","fr","Château Ausone.mp3"
"Château Pavie","fr","Château Pavie.mp3"
"Château Angélus","fr","Château Angélus.mp3"
"Château Figeac","fr","Château Figeac.mp3"
"Château Canon","fr","Château Canon.mp3"
"Château La Gaffelière","fr","Château La Gaffelière.mp3"
"Château Troplong Mondot","fr","Château Troplong Mondot.mp3"
"Château Valandraud","fr","Château Valandraud.mp3"
"Château Cos d'Estournel","fr","Château Cos d'Estournel.mp3"
"Château Montrose","fr","Château Montrose.mp3"
"Château Calon-Ségur","fr","Château Calon-Ségur.mp3"
"Château Lafon-Rochet","fr","Château Lafon-Rochet.mp3"
